Atom positions and velocities over time grids from Ground truth
-0.5775  1.0122  0.6321 -0.5804 -0.6113 -0.7693  0.1999  0.4910  1.4479  0.8497
-0.7366  0.9603  0.6191 -0.5419 -0.6079 -0.7681  0.3937  0.4930  1.4417  0.7001
-0.9327  0.9100  0.6059 -0.4906 -0.5949 -0.7655  0.6317  0.4927  1.4279  0.4300
-1.1478  0.8628  0.5914 -0.4265 -0.5753 -0.7602  0.8949  0.4887  1.4069  0.1011
-1.3502  0.8198  0.5745 -0.3503 -0.5519 -0.7504  1.1538  0.4801  1.3810 -0.2205

-0.6732 -1.0527 -0.2701  0.8289  1.2882  1.5437 -0.3441 -0.0284 -0.9055 -2.0165
-0.5722 -1.0338 -0.2910  0.7474  1.2609  1.5663 -0.3643 -0.0101 -0.9828 -2.0122
-0.4150 -1.0184 -0.3177  0.6473  1.2339  1.5869 -0.3752  0.0075 -1.0200 -2.0029
-0.1849 -1.0059 -0.3512  0.5357  1.2072  1.6038 -0.3792  0.0242 -1.0318 -1.9865
 0.1247 -0.9958 -0.3918  0.4192  1.1807  1.6149 -0.3791  0.0398 -1.0287 -1.9610
 0.4970 -0.9876 -0.4398  0.3036  1.1545  1.6170 -0.3775  0.0543 -1.0176 -1.9247
 0.8891 -0.9810 -0.4948  0.1939  1.1286  1.6055 -0.3767  0.0676 -1.0029 -1.8768
 1.2479 -0.9756 -0.5554  0.0939  1.1033  1.5732 -0.3776  0.0799 -0.9872 -1.8185

 0.1935 -0.5553  2.0074  1.5304 -2.3178 -0.7684  0.2897 -0.3852  1.9632 -0.2311
 0.2639 -0.5456  1.9878  1.5306 -2.3400 -0.5295  0.3072 -0.3678  2.0541 -0.2130
 0.3338 -0.5346  1.9135  1.5307 -2.3295 -0.3506  0.3251 -0.3613  2.0993 -0.1950
 0.4017 -0.5226  1.7844  1.5306 -2.3029 -0.2221  0.3436 -0.3670  2.1145 -0.1783
 0.4662 -0.5101  1.5966  1.5305 -2.2690 -0.1323  0.3631 -0.3858  2.1107 -0.1636
 0.5261 -0.4979  1.3555  1.5304 -2.2327 -0.0708  0.3839 -0.4187  2.0954 -0.1510
 0.5808 -0.4867  1.0811  1.5305 -2.1973 -0.0300  0.4061 -0.4658  2.0733 -0.1402
 0.6299 -0.4775  0.8046  1.5308 -2.1656 -0.0047  0.4292 -0.5255  2.0466 -0.1305

 0.1960 -2.0458
-0.2085 -2.2252
-0.5398 -2.3208
-0.7812 -2.3261
-0.9426 -2.2398
-1.0441 -2.0696
-1.1046 -1.8357
-1.1380 -1.5694
[ CPUFloatType{8,192} ]
