Atom positions and velocities over time grids from ground truth
 1.3586  0.2415  0.4919 -0.6364 -1.2842 -0.0766 -0.4820 -1.2686 -0.6775  0.9028
 1.4068  0.1698  0.5265 -0.6460 -1.2248 -0.1776 -0.4320 -1.2131 -0.6600  0.9141
 1.4424  0.0979  0.5532 -0.6481 -1.1587 -0.2712 -0.3791 -1.1507 -0.6366  0.9162
 1.4662  0.0259  0.5724 -0.6432 -1.0864 -0.3579 -0.3235 -1.0821 -0.6076  0.9098
 1.4790 -0.0461  0.5847 -0.6319 -1.0084 -0.4381 -0.2654 -1.0076 -0.5734  0.8955

-1.4875  2.4617 -1.5200  1.5389 -1.8076  0.6756 -0.7324 -1.5466  1.9121  0.6334
-1.3991  2.4746 -1.4894  1.5599 -1.8401  0.5766 -0.7513 -1.5803  1.9378  0.6548
-1.3047  2.4735 -1.4498  1.5688 -1.8597  0.4755 -0.7620 -1.6018  1.9501  0.6680
-1.2046  2.4592 -1.4019  1.5665 -1.8670  0.3725 -0.7648 -1.6116  1.9500  0.6733
-1.0996  2.4328 -1.3463  1.5536 -1.8630  0.2679 -0.7604 -1.6108  1.9383  0.6715

-0.2255 -1.0532  0.1650  0.0579  0.7080 -1.2397 -0.2668  2.5239 -0.5958 -1.0289
-0.2354 -1.0834  0.1727  0.0632  0.5405 -1.2664 -0.2769  2.5377 -0.6063 -0.9689
-0.2411 -1.1032  0.1764  0.0661  0.3739 -1.2821 -0.2824  2.5373 -0.6095 -0.9032
-0.2431 -1.1131  0.1764  0.0668  0.2082 -1.2876 -0.2836  2.5237 -0.6058 -0.8322
-0.2414 -1.1140  0.1730  0.0653  0.0435 -1.2835 -0.2809  2.4978 -0.5957 -0.7564

-0.9482 -0.5719  2.3138  1.6745  0.6439 -0.1890 -0.0145  0.4492 -0.4306 -0.4144
-0.9089 -0.6558  2.4448  1.6187  0.6313 -0.2014  0.0632  0.4744 -0.4607 -0.4106
-0.8631 -0.7292  2.5575  1.5546  0.6125 -0.2095  0.1359  0.4927 -0.4836 -0.4014
-0.8115 -0.7928  2.6531  1.4828  0.5878 -0.2138  0.2039  0.5043 -0.4998 -0.3871
-0.7543 -0.8471  2.7325  1.4038  0.5576 -0.2144  0.2674  0.5098 -0.5098 -0.3682

 1.8615 -0.9701  1.0364 -0.0019  0.1373  0.3553 -0.2343 -2.4556  0.6603 -2.1558
 1.8797 -1.0939  0.9941  0.0235  0.2244  0.3574 -0.2487 -2.4964  0.6585 -2.1870
 1.8853 -1.2035  0.9451  0.0469  0.3039  0.3544 -0.2584 -2.5221  0.6496 -2.2042
 1.8790 -1.2999  0.8899  0.0686  0.3763  0.3466 -0.2636 -2.5338  0.6341 -2.2084
 1.8616 -1.3837  0.8290  0.0886  0.4421  0.3344 -0.2646 -2.5323  0.6126 -2.2005

-0.8431  0.0984  0.8656  1.5605  0.3210  0.7661 -0.4317  0.0929 -0.1920 -1.3591
-0.8702  0.2452  0.8743  1.4532  0.3328  0.7718 -0.5074  0.1202 -0.1743 -1.3766
-0.8880  0.3818  0.8744  1.3403  0.3392  0.7696 -0.5739  0.1437 -0.1541 -1.3831
-0.8969  0.5091  0.8665  1.2224  0.3406  0.7598 -0.6315  0.1635 -0.1317 -1.3791
-0.8976  0.6273  0.8511  1.0998  0.3374  0.7431 -0.6809  0.1799 -0.1072 -1.3655

-1.0759  1.5776 -1.8341  0.6510  0.5320 -0.7528  0.5792 -0.3301  1.7156 -0.7436
-1.0273  1.6606 -1.7060  0.6197  0.4568 -0.6479  0.6055 -0.3353  1.6225 -0.7740
-0.9724  1.7290 -1.5727  0.5830  0.3792 -0.5410  0.6236 -0.3356  1.5225 -0.7955
-0.9117  1.7838 -1.4345  0.5413  0.2994 -0.4324  0.6341 -0.3314  1.4163 -0.8087
-0.8456  1.8259 -1.2921  0.4949  0.2176 -0.3224  0.6375 -0.3229  1.3042 -0.8140

 1.1987  1.0931 -0.2016  0.8250 -0.6568 -0.6856  1.1822  0.6210 -0.4573  0.9968
 1.2314  1.1700 -0.2081  0.7517 -0.4952 -0.6753  1.2261  0.6199 -0.4870  0.8535
 1.2527  1.2342 -0.2109  0.6742 -0.3348 -0.6586  1.2582  0.6118 -0.5096  0.7084
 1.2633  1.2864 -0.2104  0.5928 -0.1756 -0.6357  1.2793  0.5970 -0.5256  0.5618
 1.2640  1.3276 -0.2066  0.5079 -0.0176 -0.6072  1.2901  0.5761 -0.5354  0.4138

 0.4635 -0.4669 -0.7082  0.4496 -0.5185 -1.4007  0.8985  0.0271 -1.2021 -0.5288
 0.4772 -0.4763 -0.7215  0.5983 -0.5808 -1.5692  0.9151  0.0553 -1.3829 -0.5426
 0.4841 -0.4794 -0.7269  0.7339 -0.6342 -1.7204  0.9223  0.0801 -1.5464 -0.5495
 0.4846 -0.4767 -0.7249  0.8573 -0.6791 -1.8553  0.9206  0.1018 -1.6936 -0.5500
 0.4791 -0.4686 -0.7161  0.9690 -0.7163 -1.9748  0.9107  0.1204 -1.8254 -0.5446

-0.7904 -0.4571
-0.7702 -0.4654
-0.7436 -0.4677
-0.7111 -0.4643
-0.6729 -0.4556
[ CPUFloatType{5,192} ]
