Atom positions and velocities over time grids from ground truth
 3.6335  5.3428  4.9345  3.9592  3.4134  4.0509  3.7222  3.1672  2.7873  2.4908
 3.6412  5.3494  4.9305  3.9699  3.4179  4.0460  3.7151  3.1675  2.7833  2.4814
 3.6485  5.3555  4.9262  3.9803  3.4220  4.0410  3.7079  3.1676  2.7791  2.4720

 5.2745  2.6496  0.6473  3.7968  4.8652  1.0874 -1.1429  0.8554  0.3700  0.4823
 5.2838  2.6495  0.6335  3.7919  4.8566  1.0828 -1.1364  0.7043  0.4003  0.6246
 5.2927  2.6492  0.6200  3.7868  4.8479  1.0782 -1.1256  0.5562  0.4268  0.7582
 5.3012  2.6487  0.6068  3.7815  4.8392  1.0736 -1.1107  0.4111  0.4498  0.8836

 1.1367  0.2261  0.4222 -0.6427 -1.2628  0.0480 -0.9170 -1.4233 -0.7658  0.9885
 1.2182  0.2333  0.4491 -0.6439 -1.2754  0.0050 -0.7692 -1.3744 -0.7386  0.9628
 1.2920  0.2384  0.4723 -0.6417 -1.2824 -0.0365 -0.6242 -1.3227 -0.7091  0.9341
 1.3584  0.2415  0.4918 -0.6364 -1.2841 -0.0766 -0.4821 -1.2686 -0.6775  0.9027

-1.2364  2.4324 -1.5996  1.5311 -1.7755  0.7180 -0.7064 -1.4904  1.8632  0.6680
-1.3282  2.4501 -1.5775  1.5396 -1.7929  0.7068 -0.7191 -1.5155  1.8867  0.6594
-1.4116  2.4596 -1.5508  1.5420 -1.8034  0.6926 -0.7276 -1.5341  1.9027  0.6477
-1.4873  2.4615 -1.5199  1.5387 -1.8074  0.6756 -0.7323 -1.5464  1.9119  0.6333

-0.2180 -1.0290  0.1592  0.0483  1.1920 -1.2218 -0.2515  2.5417 -0.5557 -1.2192
-0.2222 -1.0419  0.1627  0.0523  1.0277 -1.2330 -0.2586  2.5431 -0.5727 -1.1573
-0.2246 -1.0498  0.1646  0.0555  0.8663 -1.2389 -0.2637  2.5368 -0.5860 -1.0938
-0.2255 -1.0531  0.1650  0.0579  0.7080 -1.2396 -0.2668  2.5236 -0.5957 -1.0288

-1.0202 -0.2779  1.4442  1.6592  0.7147 -0.1737 -0.0049  0.4712 -0.4391 -0.5605
-0.9994 -0.3820  1.7506  1.6707  0.6935 -0.1805 -0.0082  0.4664 -0.4387 -0.5124
-0.9753 -0.4798  2.0401  1.6756  0.6698 -0.1855 -0.0114  0.4589 -0.4358 -0.4637
-0.9481 -0.5718  2.3134  1.6744  0.6438 -0.1890 -0.0145  0.4491 -0.4306 -0.4144

 1.8546 -0.3748  1.1454 -0.0472 -0.4510  0.3841 -0.2148 -2.5096  0.7013 -2.1019
 1.8635 -0.5835  1.1119 -0.0317 -0.2487  0.3765 -0.2232 -2.4981  0.6906 -2.1273
 1.8656 -0.7817  1.0755 -0.0166 -0.0527  0.3669 -0.2297 -2.4798  0.6768 -2.1450
 1.8613 -0.9699  1.0364 -0.0019  0.1372  0.3553 -0.2343 -2.4553  0.6603 -2.1555

-0.7882 -0.4823  0.8784  2.0785  0.3103  0.7814  0.3798  0.0347 -0.2606 -1.3564
-0.8111 -0.2827  0.8781  1.9039  0.3163  0.7799  0.1006  0.0556 -0.2383 -1.3626
-0.8293 -0.0893  0.8737  1.7312  0.3198  0.7747 -0.1698  0.0750 -0.2154 -1.3634
-0.8430  0.0984  0.8656  1.5604  0.3210  0.7661 -0.4316  0.0929 -0.1920 -1.3589

-1.0610  1.3194 -1.8738  0.7989  1.1517 -0.7482  0.5347 -0.3346  1.6953 -0.6840
-1.0707  1.4139 -1.8661  0.7511  0.9404 -0.7534  0.5535 -0.3351  1.7087 -0.7082
-1.0756  1.4998 -1.8527  0.7017  0.7338 -0.7548  0.5682 -0.3335  1.7153 -0.7279
